;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
60;0.089285714;0.107142857;0.089285714;0.089285714;0.107142857;0.089285714;0.142857143;0.107142857;0.089285714;0.089285714
61;0.06097561;0.06097561;0.06097561;0.06097561;0.073170732;0.06097561;0.073170732;0.134146341;0.353658537;0.06097561
62;0.065789474;0.157894737;0.065789474;0.078947368;0.065789474;0.157894737;0.118421053;0.065789474;0.144736842;0.078947368
63;0.070422535;0.098591549;0.281690141;0.070422535;0.084507042;0.098591549;0.070422535;0.070422535;0.070422535;0.084507042
64;0.144736842;0.144736842;0.065789474;0.210526316;0.065789474;0.065789474;0.065789474;0.065789474;0.078947368;0.092105263
65;0.071428571;0.089285714;0.053571429;0.160714286;0.089285714;0.0625;0.080357143;0.294642857;0.044642857;0.053571429
66;0.097222222;0.069444444;0.069444444;0.208333333;0.125;0.069444444;0.069444444;0.111111111;0.111111111;0.069444444
67;0.423913043;0.054347826;0.054347826;0.119565217;0.065217391;0.054347826;0.054347826;0.054347826;0.054347826;0.065217391
68;0.425742574;0.04950495;0.059405941;0.069306931;0.059405941;0.069306931;0.059405941;0.079207921;0.069306931;0.059405941
69;0.078125;0.109375;0.078125;0.09375;0.078125;0.078125;0.140625;0.109375;0.078125;0.15625
70;0.095890411;0.082191781;0.082191781;0.082191781;0.082191781;0.082191781;0.082191781;0.068493151;0.260273973;0.082191781
71;0.085714286;0.1;0.071428571;0.257142857;0.085714286;0.071428571;0.071428571;0.085714286;0.085714286;0.085714286
72;0.105882353;0.105882353;0.058823529;0.352941176;0.070588235;0.070588235;0.058823529;0.058823529;0.058823529;0.058823529
73;0.134146341;0.085365854;0.073170732;0.280487805;0.097560976;0.06097561;0.06097561;0.085365854;0.06097561;0.06097561
74;0.064102564;0.064102564;0.064102564;0.064102564;0.115384615;0.205128205;0.076923077;0.064102564;0.217948718;0.064102564
75;0.141025641;0.076923077;0.064102564;0.320512821;0.076923077;0.064102564;0.064102564;0.064102564;0.064102564;0.064102564
76;0.05952381;0.107142857;0.071428571;0.083333333;0.071428571;0.05952381;0.083333333;0.238095238;0.095238095;0.130952381
77;0.369047619;0.083333333;0.05952381;0.083333333;0.05952381;0.05952381;0.107142857;0.05952381;0.05952381;0.05952381
78;0.06122449;0.397959184;0.071428571;0.091836735;0.06122449;0.051020408;0.06122449;0.071428571;0.06122449;0.071428571
79;0.107142857;0.05952381;0.071428571;0.226190476;0.119047619;0.05952381;0.142857143;0.071428571;0.083333333;0.05952381
80;0.096774194;0.080645161;0.129032258;0.080645161;0.080645161;0.080645161;0.129032258;0.080645161;0.080645161;0.161290323
81;0.103448276;0.057471264;0.057471264;0.057471264;0.068965517;0.08045977;0.057471264;0.114942529;0.068965517;0.333333333
82;0.1625;0.0875;0.0625;0.1875;0.0875;0.0625;0.0625;0.0625;0.0625;0.1625
83;0.072289157;0.060240964;0.060240964;0.277108434;0.13253012;0.072289157;0.072289157;0.072289157;0.072289157;0.108433735
84;0.144736842;0.078947368;0.065789474;0.210526316;0.092105263;0.065789474;0.065789474;0.118421053;0.065789474;0.092105263
85;0.106666667;0.12;0.08;0.08;0.12;0.066666667;0.133333333;0.093333333;0.12;0.08
86;0.138461538;0.107692308;0.076923077;0.092307692;0.107692308;0.076923077;0.138461538;0.092307692;0.092307692;0.076923077
87;0.078947368;0.092105263;0.078947368;0.065789474;0.078947368;0.118421053;0.157894737;0.092105263;0.171052632;0.065789474
88;0.066666667;0.08;0.08;0.08;0.08;0.12;0.093333333;0.066666667;0.08;0.253333333
89;0.083333333;0.083333333;0.138888889;0.069444444;0.125;0.097222222;0.069444444;0.069444444;0.138888889;0.125
